Name,Type,Species,Height,Weight,Abilities,Catch rate,Base Friendship,Base Exp.,Growth Rate,Gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Bulbasaur,Grass Poison,Seed Pokémon,0.7,6.9,1. OvergrowChlorophyll (hidden ability),45,50,64,Medium Slow,"87.5% male, 12.5% female",45,49,49,65,65,45
Ivysaur,Grass Poison,Seed Pokémon,1,13,1. OvergrowChlorophyll (hidden ability),45,50,142,Medium Slow,"87.5% male, 12.5% female",60,62,63,80,80,60
Venusaur,Grass Poison,Seed Pokémon,2.4,155.5,Thick Fat,45,50,281,Medium Slow,"87.5% male, 12.5% female",80,100,123,122,120,80
Charmander,Fire,Lizard Pokémon,0.6,8.5,1. BlazeSolar Power (hidden ability),45,50,62,Medium Slow,"87.5% male, 12.5% female",39,52,43,60,50,65
Charmeleon,Fire,Flame Pokémon,1.1,19,1. BlazeSolar Power (hidden ability),45,50,142,Medium Slow,"87.5% male, 12.5% female",58,64,58,80,65,80
Charizard,Fire Flying,Flame Pokémon,1.7,100.5,Drought,45,50,285,Medium Slow,"87.5% male, 12.5% female",78,104,78,159,115,100
Squirtle,Water,Tiny Turtle Pokémon,0.5,9,1. TorrentRain Dish (hidden ability),45,50,63,Medium Slow,"87.5% male, 12.5% female",44,48,65,50,64,43
Wartortle,Water,Turtle Pokémon,1,22.5,1. TorrentRain Dish (hidden ability),45,50,142,Medium Slow,"87.5% male, 12.5% female",59,63,80,65,80,58
Blastoise,Water,Shellfish Pokémon,1.6,101.1,Mega Launcher,45,50,284,Medium Slow,"87.5% male, 12.5% female",79,103,120,135,115,78
Caterpie,Bug,Worm Pokémon,0.3,2.9,1. Shield DustRun Away (hidden ability),255,50,39,Medium Fast,"50% male, 50% female",45,30,35,20,20,45
Metapod,Bug,Cocoon Pokémon,0.7,9.9,1. Shed Skin,120,50,72,Medium Fast,"50% male, 50% female",50,20,55,25,25,30
Butterfree,Bug Flying,Butterfly Pokémon,1.1,32,1. Compound EyesTinted Lens (hidden ability),45,50,178,Medium Fast,"50% male, 50% female",60,45,50,90,80,70
Weedle,Bug Poison,Hairy Bug Pokémon,0.3,3.2,1. Shield DustRun Away (hidden ability),255,50,39,Medium Fast,"50% male, 50% female",40,35,30,20,20,50
Kakuna,Bug Poison,Cocoon Pokémon,0.6,10,1. Shed Skin,120,50,72,Medium Fast,"50% male, 50% female",45,25,50,25,25,35
Beedrill,Bug Poison,Poison Bee Pokémon,1.4,40.5,Adaptability,45,50,223,Medium Fast,"50% male, 50% female",65,150,40,15,80,145
Pidgey,Normal Flying,Tiny Bird Pokémon,0.3,1.8,1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),255,50,50,Medium Slow,"50% male, 50% female",40,45,40,35,35,56
Pidgeotto,Normal Flying,Bird Pokémon,1.1,30,1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),120,50,122,Medium Slow,"50% male, 50% female",63,60,55,50,50,71
Pidgeot,Normal Flying,Bird Pokémon,2.2,50.5,No Guard,45,50,261,Medium Slow,"50% male, 50% female",83,80,80,135,80,121
Rattata,Dark Normal,Mouse Pokémon,0.3,3.8,Gluttony Hustle Thick Fat,255,50,51,Medium Fast,"50% male, 50% female",30,56,35,25,35,72
Raticate,Dark Normal,Mouse Pokémon,0.7,25.5,Gluttony Hustle Thick Fat,127,50,145,Medium Fast,"50% male, 50% female",75,71,70,40,80,77
Spearow,Normal Flying,Tiny Bird Pokémon,0.3,2,1. Keen EyeSniper (hidden ability),255,50,52,Medium Fast,"50% male, 50% female",40,60,30,31,31,70
Fearow,Normal Flying,Beak Pokémon,1.2,38,1. Keen EyeSniper (hidden ability),90,50,155,Medium Fast,"50% male, 50% female",65,90,65,61,61,100
Ekans,Poison,Snake Pokémon,2,6.9,1. Intimidate2. Shed SkinUnnerve (hidden ability),255,50,58,Medium Fast,"50% male, 50% female",35,60,44,40,54,55
Arbok,Poison,Cobra Pokémon,3.5,65,1. Intimidate2. Shed SkinUnnerve (hidden ability),90,50,157,Medium Fast,"50% male, 50% female",60,95,69,65,79,80
Pikachu,Electric,Mouse Pokémon,0.4,6,Static,190,50,112,Medium Fast,"50% male, 50% female",45,80,50,75,60,120
Raichu,Electric Psychic,Mouse Pokémon,0.7,21,Surge Surfer,75,50,243,Medium Fast,"50% male, 50% female",60,85,50,95,85,110
Sandshrew,Ice Steel,Mouse Pokémon,0.7,40,Snow Cloak Slush Rush,255,50,60,Medium Fast,"50% male, 50% female",50,75,90,10,35,40
Sandslash,Ice Steel,Mouse Pokémon,1.2,55,Snow Cloak Slush Rush,90,50,158,Medium Fast,"50% male, 50% female",75,100,120,25,65,65
Clefairy,Fairy,Fairy Pokémon,0.6,7.5,1. Cute Charm2. Magic GuardFriend Guard (hidden ability),150,140,113,Fast,"25% male, 75% female",70,45,48,60,65,35
Clefable,Fairy,Fairy Pokémon,1.3,40,1. Cute Charm2. Magic GuardUnaware (hidden ability),25,140,217,Fast,"25% male, 75% female",95,70,73,95,90,60
Vulpix,Ice,Fox Pokémon,0.6,9.9,Snow Cloak Snow Warning,190,50,60,Medium Fast,"25% male, 75% female",38,41,40,50,65,65
Ninetales,Ice Fairy,Fox Pokémon,1.1,19.9,Snow Cloak Snow Warning,75,50,177,Medium Fast,"25% male, 75% female",73,67,75,81,100,109
Jigglypuff,Normal Fairy,Balloon Pokémon,0.5,5.5,1. Cute Charm2. CompetitiveFriend Guard (hidden ability),170,50,95,Fast,"25% male, 75% female",115,45,20,45,25,20
Wigglytuff,Normal Fairy,Balloon Pokémon,1,12,1. Cute Charm2. CompetitiveFrisk (hidden ability),50,50,218,Fast,"25% male, 75% female",140,70,45,85,50,45
Zubat,Poison Flying,Bat Pokémon,0.8,7.5,1. Inner FocusInfiltrator (hidden ability),255,50,49,Medium Fast,"50% male, 50% female",40,45,35,30,40,55
Golbat,Poison Flying,Bat Pokémon,1.6,55,1. Inner FocusInfiltrator (hidden ability),90,50,159,Medium Fast,"50% male, 50% female",75,80,70,65,75,90
Oddish,Grass Poison,Weed Pokémon,0.5,5.4,1. ChlorophyllRun Away (hidden ability),255,50,64,Medium Slow,"50% male, 50% female",45,50,55,75,65,30
Gloom,Grass Poison,Weed Pokémon,0.8,8.6,1. ChlorophyllStench (hidden ability),120,50,138,Medium Slow,"50% male, 50% female",60,65,70,85,75,40
Vileplume,Grass Poison,Flower Pokémon,1.2,18.6,1. ChlorophyllEffect Spore (hidden ability),45,50,221,Medium Slow,"50% male, 50% female",75,80,85,110,90,50
Paras,Bug Grass,Mushroom Pokémon,0.3,5.4,1. Effect Spore2. Dry SkinDamp (hidden ability),190,50,57,Medium Fast,"50% male, 50% female",35,70,55,45,55,25
Parasect,Bug Grass,Mushroom Pokémon,1,29.5,1. Effect Spore2. Dry SkinDamp (hidden ability),75,50,142,Medium Fast,"50% male, 50% female",60,95,80,60,80,30
Venonat,Bug Poison,Insect Pokémon,1,30,1. Compound Eyes2. Tinted LensRun Away (hidden ability),190,50,61,Medium Fast,"50% male, 50% female",60,55,50,40,55,45
Venomoth,Bug Poison,Poison Moth Pokémon,1.5,12.5,1. Shield Dust2. Tinted LensWonder Skin (hidden ability),75,50,158,Medium Fast,"50% male, 50% female",70,65,60,90,75,90
Diglett,Ground Steel,Mole Pokémon,0.2,1,Sand Veil Tangling Hair Sand Force,255,50,53,Medium Fast,"50% male, 50% female",10,55,30,35,45,90
Dugtrio,Ground Steel,Mole Pokémon,0.7,66.6,Sand Veil Tangling Hair Sand Force,50,50,149,Medium Fast,"50% male, 50% female",35,100,60,50,70,110
Meowth,Steel,Scratch Cat Pokémon,0.4,7.5,Pickup Tough Claws Unnerve,255,50,58,Medium Fast,"50% male, 50% female",50,65,55,40,40,40
Persian,Dark,Classy Cat Pokémon,1.1,33,Fur Coat Technician Rattled,90,50,154,Medium Fast,"50% male, 50% female",65,60,60,75,65,115
Psyduck,Water,Duck Pokémon,0.8,19.6,1. Damp2. Cloud NineSwift Swim (hidden ability),190,50,64,Medium Fast,"50% male, 50% female",50,52,48,65,50,55
Golduck,Water,Duck Pokémon,1.7,76.6,1. Damp2. Cloud NineSwift Swim (hidden ability),75,50,175,Medium Fast,"50% male, 50% female",80,82,78,95,80,85
Mankey,Fighting,Pig Monkey Pokémon,0.5,28,1. Vital Spirit2. Anger PointDefiant (hidden ability),190,50,61,Medium Fast,"50% male, 50% female",40,80,35,35,45,70
Primeape,Fighting,Pig Monkey Pokémon,1,32,1. Vital Spirit2. Anger PointDefiant (hidden ability),75,50,159,Medium Fast,"50% male, 50% female",65,105,60,60,70,95
Growlithe,Fire Rock,Scout Pokémon,0.8,22.7,Intimidate Flash Fire Rock Head,190,50,70,Slow,"75% male, 25% female",60,75,45,65,50,55
Arcanine,Fire Rock,Legendary Pokémon,2,168,Intimidate Flash Fire Rock Head,75,50,194,Slow,"75% male, 25% female",95,115,80,95,80,90
Poliwag,Water,Tadpole Pokémon,0.6,12.4,1. Water Absorb2. DampSwift Swim (hidden ability),255,50,60,Medium Slow,"50% male, 50% female",40,50,40,40,40,90
Poliwhirl,Water,Tadpole Pokémon,1,20,1. Water Absorb2. DampSwift Swim (hidden ability),120,50,135,Medium Slow,"50% male, 50% female",65,65,65,50,50,90
Poliwrath,Water Fighting,Tadpole Pokémon,1.3,54,1. Water Absorb2. DampSwift Swim (hidden ability),45,50,230,Medium Slow,"50% male, 50% female",90,95,95,70,90,70
Abra,Psychic,Psi Pokémon,0.9,19.5,1. Synchronize2. Inner FocusMagic Guard (hidden ability),200,50,62,Medium Slow,"75% male, 25% female",25,20,15,105,55,90
Kadabra,Psychic,Psi Pokémon,1.3,56.5,1. Synchronize2. Inner FocusMagic Guard (hidden ability),100,50,140,Medium Slow,"75% male, 25% female",40,35,30,120,70,105
Alakazam,Psychic,Psi Pokémon,1.2,48,Trace,50,50,270,Medium Slow,"75% male, 25% female",55,50,65,175,105,150
Machop,Fighting,Superpower Pokémon,0.8,19.5,1. Guts2. No GuardSteadfast (hidden ability),180,50,61,Medium Slow,"75% male, 25% female",70,80,50,35,35,35
Machoke,Fighting,Superpower Pokémon,1.5,70.5,1. Guts2. No GuardSteadfast (hidden ability),90,50,142,Medium Slow,"75% male, 25% female",80,100,70,50,60,45
Machamp,Fighting,Superpower Pokémon,1.6,130,1. Guts2. No GuardSteadfast (hidden ability),45,50,227,Medium Slow,"75% male, 25% female",90,130,80,65,85,55
Bellsprout,Grass Poison,Flower Pokémon,0.7,4,1. ChlorophyllGluttony (hidden ability),255,50,60,Medium Slow,"50% male, 50% female",50,75,35,70,30,40
Weepinbell,Grass Poison,Flycatcher Pokémon,1,6.4,1. ChlorophyllGluttony (hidden ability),120,50,137,Medium Slow,"50% male, 50% female",65,90,50,85,45,55
Victreebel,Grass Poison,Flycatcher Pokémon,1.7,15.5,1. ChlorophyllGluttony (hidden ability),45,50,221,Medium Slow,"50% male, 50% female",80,105,65,100,70,70
Tentacool,Water Poison,Jellyfish Pokémon,0.9,45.5,1. Clear Body2. Liquid OozeRain Dish (hidden ability),190,50,67,Slow,"50% male, 50% female",40,40,35,50,100,70
Tentacruel,Water Poison,Jellyfish Pokémon,1.6,55,1. Clear Body2. Liquid OozeRain Dish (hidden ability),60,50,180,Slow,"50% male, 50% female",80,70,65,80,120,100
Geodude,Rock Electric,Rock Pokémon,0.4,20.3,Magnet Pull Sturdy Galvanize,255,50,60,Medium Slow,"50% male, 50% female",40,80,100,30,30,20
Graveler,Rock Electric,Rock Pokémon,1,110,Magnet Pull Sturdy Galvanize,120,50,137,Medium Slow,"50% male, 50% female",55,95,115,45,45,35
Golem,Rock Electric,Megaton Pokémon,1.7,316,Magnet Pull Sturdy Galvanize,45,50,223,Medium Slow,"50% male, 50% female",80,120,130,55,65,45
Ponyta,Psychic,Unique Horn Pokémon,0.8,24,Run Away Pastel Veil Anticipation,190,50,82,Medium Fast,"50% male, 50% female",50,85,55,65,65,90
Rapidash,Psychic Fairy,Unique Horn Pokémon,1.7,80,Run Away Pastel Veil Anticipation,60,50,175,Medium Fast,"50% male, 50% female",65,100,70,80,80,105
Slowpoke,Psychic,Dopey Pokémon,1.2,36,Gluttony Own Tempo Regenerator,190,50,63,Medium Fast,"50% male, 50% female",90,65,65,40,40,15
Slowbro,Poison Psychic,Hermit Crab Pokémon,1.6,70.5,Quick Draw Own Tempo Regenerator,75,50,172,Medium Fast,"50% male, 50% female",95,100,95,100,70,30
Magnemite,Electric Steel,Magnet Pokémon,0.3,6,1. Magnet Pull2. SturdyAnalytic (hidden ability),190,50,65,Medium Fast,Genderless,25,35,70,95,55,45
Magneton,Electric Steel,Magnet Pokémon,1,60,1. Magnet Pull2. SturdyAnalytic (hidden ability),60,50,163,Medium Fast,Genderless,50,60,95,120,70,70
Farfetch'd,Fighting,Wild Duck Pokémon,0.8,42,Steadfast Scrappy,45,50,132,Medium Fast,"50% male, 50% female",52,95,55,58,62,55
Doduo,Normal Flying,Twin Bird Pokémon,1.4,39.2,1. Run Away2. Early BirdTangled Feet (hidden ability),190,50,62,Medium Fast,"50% male, 50% female",35,85,45,35,35,75
Dodrio,Normal Flying,Triple Bird Pokémon,1.8,85.2,1. Run Away2. Early BirdTangled Feet (hidden ability),45,50,165,Medium Fast,"50% male, 50% female",60,110,70,60,60,110
Seel,Water,Sea Lion Pokémon,1.1,90,1. Thick Fat2. HydrationIce Body (hidden ability),190,50,65,Medium Fast,"50% male, 50% female",65,45,55,45,70,45
Dewgong,Water Ice,Sea Lion Pokémon,1.7,120,1. Thick Fat2. HydrationIce Body (hidden ability),75,50,166,Medium Fast,"50% male, 50% female",90,70,80,70,95,70
Grimer,Poison Dark,Sludge Pokémon,0.7,42,Poison Touch Gluttony Power of Alchemy,190,50,65,Medium Fast,"50% male, 50% female",80,80,50,40,50,25
Muk,Poison Dark,Sludge Pokémon,1,52,Poison Touch Gluttony Power of Alchemy,75,50,175,Medium Fast,"50% male, 50% female",105,105,75,65,100,50
Shellder,Water,Bivalve Pokémon,0.3,4,1. Shell Armor2. Skill LinkOvercoat (hidden ability),190,50,61,Slow,"50% male, 50% female",30,65,100,45,25,40
Cloyster,Water Ice,Bivalve Pokémon,1.5,132.5,1. Shell Armor2. Skill LinkOvercoat (hidden ability),60,50,184,Slow,"50% male, 50% female",50,95,180,85,45,70
Gastly,Ghost Poison,Gas Pokémon,1.3,0.1,1. Levitate,190,50,62,Medium Slow,"50% male, 50% female",30,35,30,100,35,80
Haunter,Ghost Poison,Gas Pokémon,1.6,0.1,1. Levitate,90,50,142,Medium Slow,"50% male, 50% female",45,50,45,115,55,95
Gengar,Ghost Poison,Shadow Pokémon,1.4,40.5,Shadow Tag,45,50,270,Medium Slow,"50% male, 50% female",60,65,80,170,95,130
Onix,Rock Ground,Rock Snake Pokémon,8.8,210,1. Rock Head2. SturdyWeak Armor (hidden ability),45,50,77,Medium Fast,"50% male, 50% female",35,45,160,30,45,70
Drowzee,Psychic,Hypnosis Pokémon,1,32.4,1. Insomnia2. ForewarnInner Focus (hidden ability),190,50,66,Medium Fast,"50% male, 50% female",60,48,45,43,90,42
Hypno,Psychic,Hypnosis Pokémon,1.6,75.6,1. Insomnia2. ForewarnInner Focus (hidden ability),75,50,169,Medium Fast,"50% male, 50% female",85,73,70,73,115,67
Krabby,Water,River Crab Pokémon,0.4,6.5,1. Hyper Cutter2. Shell ArmorSheer Force (hidden ability),225,50,65,Medium Fast,"50% male, 50% female",30,105,90,25,25,50
Kingler,Water,Pincer Pokémon,1.3,60,1. Hyper Cutter2. Shell ArmorSheer Force (hidden ability),60,50,166,Medium Fast,"50% male, 50% female",55,130,115,50,50,75
Voltorb,Electric Grass,Sphere Pokémon,0.5,13,Soundproof Static Aftermath,190,50,66,Medium Fast,Genderless,40,30,50,55,55,100
Electrode,Electric Grass,Sphere Pokémon,1.2,71,Soundproof Static Aftermath,60,50,172,Medium Fast,Genderless,60,50,70,80,80,150
Exeggcute,Grass Psychic,Egg Pokémon,0.4,2.5,1. ChlorophyllHarvest (hidden ability),90,50,65,Slow,"50% male, 50% female",60,40,80,60,45,40
Exeggutor,Grass Dragon,Coconut Pokémon,10.9,415.6,Frisk Harvest,45,50,186,Slow,"50% male, 50% female",95,105,85,125,75,45
Cubone,Ground,Lonely Pokémon,0.4,6.5,1. Rock Head2. Lightning RodBattle Armor (hidden ability),190,50,64,Medium Fast,"50% male, 50% female",50,50,95,40,50,35
Marowak,Fire Ghost,Bone Keeper Pokémon,1,34,Cursed Body Lightning Rod Rock Head,75,50,149,Medium Fast,"50% male, 50% female",60,80,110,50,80,45
Hitmonlee,Fighting,Kicking Pokémon,1.5,49.8,1. Limber2. RecklessUnburden (hidden ability),45,50,159,Medium Fast,"100% male, 0% female",50,120,53,35,110,87
Hitmonchan,Fighting,Punching Pokémon,1.4,50.2,1. Keen Eye2. Iron FistInner Focus (hidden ability),45,50,159,Medium Fast,"100% male, 0% female",50,105,79,35,110,76
Lickitung,Normal,Licking Pokémon,1.2,65.5,1. Own Tempo2. ObliviousCloud Nine (hidden ability),45,50,77,Medium Fast,"50% male, 50% female",90,55,75,60,75,30
Koffing,Poison,Poison Gas Pokémon,0.6,1,1. Levitate2. Neutralizing GasStench (hidden ability),190,50,68,Medium Fast,"50% male, 50% female",40,65,95,60,45,35
Weezing,Poison Fairy,Poison Gas Pokémon,3,16,Levitate Neutralizing Gas Misty Surge,60,50,172,Medium Fast,"50% male, 50% female",65,90,120,85,70,60
Rhyhorn,Ground Rock,Spikes Pokémon,1,115,1. Lightning Rod2. Rock HeadReckless (hidden ability),120,50,69,Slow,"50% male, 50% female",80,85,95,30,30,25
Rhydon,Ground Rock,Drill Pokémon,1.9,120,1. Lightning Rod2. Rock HeadReckless (hidden ability),60,50,170,Slow,"50% male, 50% female",105,130,120,45,45,40
Chansey,Normal,Egg Pokémon,1.1,34.6,1. Natural Cure2. Serene GraceHealer (hidden ability),30,140,395,Fast,"0% male, 100% female",250,5,5,35,105,50
Tangela,Grass,Vine Pokémon,1,35,1. Chlorophyll2. Leaf GuardRegenerator (hidden ability),45,50,87,Medium Fast,"50% male, 50% female",65,55,115,100,40,60
Kangaskhan,Normal,Parent Pokémon,2.2,100,Parental Bond,45,50,207,Medium Fast,"0% male, 100% female",105,125,100,60,100,100
Horsea,Water,Dragon Pokémon,0.4,8,1. Swift Swim2. SniperDamp (hidden ability),225,50,59,Medium Fast,"50% male, 50% female",30,40,70,70,25,60
Seadra,Water,Dragon Pokémon,1.2,25,1. Poison Point2. SniperDamp (hidden ability),75,50,154,Medium Fast,"50% male, 50% female",55,65,95,95,45,85
Goldeen,Water,Goldfish Pokémon,0.6,15,1. Swift Swim2. Water VeilLightning Rod (hidden ability),225,50,64,Medium Fast,"50% male, 50% female",45,67,60,35,50,63
Seaking,Water,Goldfish Pokémon,1.3,39,1. Swift Swim2. Water VeilLightning Rod (hidden ability),60,50,158,Medium Fast,"50% male, 50% female",80,92,65,65,80,68
Staryu,Water,Star Shape Pokémon,0.8,34.5,1. Illuminate2. Natural CureAnalytic (hidden ability),225,50,68,Slow,Genderless,30,45,55,70,55,85
Starmie,Water Psychic,Mysterious Pokémon,1.1,80,1. Illuminate2. Natural CureAnalytic (hidden ability),60,50,182,Slow,Genderless,60,75,85,100,85,115
mr-mime,Ice Psychic,Dancing Pokémon,1.4,56.8,Vital Spirit Screen Cleaner Ice Body,45,50,161,Medium Fast,"50% male, 50% female",50,65,65,90,90,100
Scyther,Bug Flying,Mantis Pokémon,1.5,56,1. Swarm2. TechnicianSteadfast (hidden ability),45,50,100,Medium Fast,"50% male, 50% female",70,110,80,55,80,105
Jynx,Ice Psychic,Human Shape Pokémon,1.4,40.6,1. Oblivious2. ForewarnDry Skin (hidden ability),45,50,159,Medium Fast,"0% male, 100% female",65,50,35,115,95,95
Electabuzz,Electric,Electric Pokémon,1.1,30,1. StaticVital Spirit (hidden ability),45,50,172,Medium Fast,"75% male, 25% female",65,83,57,95,85,105
Magmar,Fire,Spitfire Pokémon,1.3,44.5,1. Flame BodyVital Spirit (hidden ability),45,50,173,Medium Fast,"75% male, 25% female",65,95,57,100,85,93
Pinsir,Bug Flying,Stag Beetle Pokémon,1.7,59,Aerilate,45,50,210,Slow,"50% male, 50% female",65,155,120,65,90,105
Tauros,Fighting Water,Wild Bull Pokémon,1.4,110,Intimidate Anger Point Cud Chew,45,50,172,Slow,"100% male, 0% female",75,110,105,30,70,100
